pos[-0.26,  0.15,  0.90] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.27,  0.16,  0.95] |
pos[-0.15,  0.26,  0.90] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.16,  0.27,  0.95] |
pos[ 0.00,  0.30,  0.90] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.00,  0.32,  0.95] |
pos[ 0.15,  0.26,  0.90] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.16,  0.27,  0.95] |
pos[ 0.26,  0.15,  0.90] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.27,  0.16,  0.95] |
pos[ 0.30,  0.00,  1.20] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.24,  0.00,  0.97] |
pos[ 0.26, -0.15,  1.20] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.21, -0.12,  0.97] |
pos[ 0.15, -0.26,  1.20] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.12, -0.21,  0.97] |
pos[-0.00, -0.30,  1.20] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.00, -0.24,  0.97] |
pos[-0.15, -0.26,  1.20] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.12, -0.21,  0.97] |
pos[-0.26, -0.15,  1.20] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.21, -0.12,  0.97] |
pos[-0.30,  0.00,  1.20] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.24,  0.00,  0.97] |
pos[-0.26,  0.15,  1.20] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.21,  0.12,  0.97] |
pos[-0.15,  0.26,  1.20] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.12,  0.21,  0.97] |
pos[ 0.00,  0.30,  1.20] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.00,  0.24,  0.97] |
pos[ 0.15,  0.26,  1.20] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.12,  0.21,  0.97] |
pos[ 0.26,  0.15,  1.20] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.21,  0.12,  0.97] |
pos[ 0.30,  0.00,  1.50] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.20,  0.00,  0.98] |
pos[ 0.26, -0.15,  1.50] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.17, -0.10,  0.98] |
pos[ 0.15, -0.26,  1.50] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.10, -0.17,  0.98] |
pos[-0.00, -0.30,  1.50] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.00, -0.20,  0.98] |
pos[-0.15, -0.26,  1.50] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.10, -0.17,  0.98] |
pos[-0.26, -0.15,  1.50] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.17, -0.10,  0.98] |
pos[-0.30,  0.00,  1.50] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.20,  0.00,  0.98] |
pos[-0.26,  0.15,  1.50] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.17,  0.10,  0.98] |
pos[-0.15,  0.26,  1.50] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.10,  0.17,  0.98] |
pos[ 0.00,  0.30,  1.50] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.00,  0.20,  0.98] |
pos[ 0.15,  0.26,  1.50] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.10,  0.17,  0.98] |
pos[ 0.26,  0.15,  1.50] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.17,  0.10,  0.98] |
pos[ 0.30,  0.00,  1.80] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.16,  0.00,  0.99] |
pos[ 0.26, -0.15,  1.80] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.14, -0.08,  0.99] |
pos[ 0.15, -0.26,  1.80] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.08, -0.14,  0.99] |
pos[-0.00, -0.30,  1.80] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.00, -0.16,  0.99] |
pos[-0.15, -0.26,  1.80] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.08, -0.14,  0.99] |
pos[-0.26, -0.15,  1.80] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.14, -0.08,  0.99] |
pos[-0.30,  0.00,  1.80] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.16,  0.00,  0.99] |
pos[-0.26,  0.15,  1.80] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.14,  0.08,  0.99] |
pos[-0.15,  0.26,  1.80] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.08,  0.14,  0.99] |
pos[ 0.00,  0.30,  1.80] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.00,  0.16,  0.99] |
pos[ 0.15,  0.26,  1.80] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.08,  0.14,  0.99] |
pos[ 0.26,  0.15,  1.80] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.14,  0.08,  0.99] |
